,source,target,edge,sentence
0,The World Meteorological Organization,WMO,alternate_name,"The World Meteorological Organization ( WMO ) on Tuesday verified the record , reported in the Siberian town of Verkhoyansk on 20 June last year ."
1,WMO,The World Meteorological Organization,alternate_name,"The World Meteorological Organization ( WMO ) on Tuesday verified the record , reported in the Siberian town of Verkhoyansk on 20 June last year ."
2,WMO,UN,alternate_name,"The WMO , a UN agency , said the extreme heat was "" more befitting the Mediterranean than the Arctic "" ."
3,WMO,WMO,alternate_name,"The agency said its verification of the Verkhoyansk record highlighted how temperatures were increasing in a climatically important region of the world. "" This new Arctic record is one of a series of observations reported to the WMO archive of Weather and Climate Extremes that sound the alarm bells about our changing climate ,"" said WMO Secretary-General Petteri Taalas ."
4,WMO,Petteri Taalas,works_for,"The agency said its verification of the Verkhoyansk record highlighted how temperatures were increasing in a climatically important region of the world. "" This new Arctic record is one of a series of observations reported to the WMO archive of Weather and Climate Extremes that sound the alarm bells about our changing climate ,"" said WMO Secretary-General Petteri Taalas ."
5,WMO,WMO,alternate_name,"The agency said its verification of the Verkhoyansk record highlighted how temperatures were increasing in a climatically important region of the world. "" This new Arctic record is one of a series of observations reported to the WMO archive of Weather and Climate Extremes that sound the alarm bells about our changing climate ,"" said WMO Secretary-General Petteri Taalas ."
6,WMO,Petteri Taalas,works_for,"The agency said its verification of the Verkhoyansk record highlighted how temperatures were increasing in a climatically important region of the world. "" This new Arctic record is one of a series of observations reported to the WMO archive of Weather and Climate Extremes that sound the alarm bells about our changing climate ,"" said WMO Secretary-General Petteri Taalas ."
7,Petteri Taalas,WMO,employee_of,"The agency said its verification of the Verkhoyansk record highlighted how temperatures were increasing in a climatically important region of the world. "" This new Arctic record is one of a series of observations reported to the WMO archive of Weather and Climate Extremes that sound the alarm bells about our changing climate ,"" said WMO Secretary-General Petteri Taalas ."
8,Petteri Taalas,WMO,employee_of,"The agency said its verification of the Verkhoyansk record highlighted how temperatures were increasing in a climatically important region of the world. "" This new Arctic record is one of a series of observations reported to the WMO archive of Weather and Climate Extremes that sound the alarm bells about our changing climate ,"" said WMO Secretary-General Petteri Taalas ."
9,Ted Scambos,US,lived_in,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
10,Ted Scambos,the International Thwaites Glacier Collaboration,employee_of,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
11,Ted Scambos,ITGC,employee_of,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
12,the International Thwaites Glacier Collaboration,Ted Scambos,works_for,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
13,the International Thwaites Glacier Collaboration,US,based_in,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
14,the International Thwaites Glacier Collaboration,ITGC,alternate_name,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
15,ITGC,US,based_in,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
16,ITGC,the International Thwaites Glacier Collaboration,alternate_name,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
17,Erin Pettit,Oregon State University,employee_of,"And even if the pinning persists , the ongoing development of fractures in the shelf ice will almost certainly break up the area anyway. "" I visualise it somewhat similar to that car window where you have a few cracks that are slowly propagating , and then suddenly you go over a bump in your car and the whole thing just starts to shatter in every direction ,"" explained Dr Erin Pettit from Oregon State University ."
18,Alex Phillips,UK,employee_of,"We might not get Boaty back ,"" conceded Dr Alex Phillips from the UK 's National Oceanography Centre. "" We 've put a lot of effort this past year into developing collision avoidance for the vehicle , to make sure it does n't crash into the seabed ."
19,Alex Phillips,National Oceanography Centre.,employee_of,"We might not get Boaty back ,"" conceded Dr Alex Phillips from the UK 's National Oceanography Centre. "" We 've put a lot of effort this past year into developing collision avoidance for the vehicle , to make sure it does n't crash into the seabed ."
20,National Oceanography Centre.,UK,based_in,"We might not get Boaty back ,"" conceded Dr Alex Phillips from the UK 's National Oceanography Centre. "" We 've put a lot of effort this past year into developing collision avoidance for the vehicle , to make sure it does n't crash into the seabed ."
21,the American Geophysical Union Fall Meeting,New Orleans,based_in,"We also have contingencies whereby if it does get into trouble , it can retrace its steps and retreat to safety. "" The latest science on Thwaites Glacier is being presented this week at the American Geophysical Union Fall Meeting in New Orleans ."
22,James Richardson,IRT Surveys,employee_of,"The coolest temperatures are black , purple and blue and the draughts are shown around the door in these colours , says James Richardson , of IRT Surveys - which uses thermal imaging to help home owners identify where heat is being lost ."
23,Joko Widodo,Indonesian,origin,"In a BBC interview in October , Indonesian President Joko Widodo defended his country 's deforestation record , and said it had "" rehabilitated a lot of hectares "" of forests ."
24,Filda Yusgiantoro,Indonesia,lived_in,"Filda Yusgiantoro , director of an Indonesia energy think tank , says given the growing demand for vehicles , "" biofuels. . from palm oil will still play a major role in supplying fuel needs for the transportation sector "" ."
25,Takao Saiki,70s,has_age,"Beside me is Takao Saiki , a usually mild-mannered gentleman in his 70s ."
26,Tomas Kaberger,Chalmers University,employee_of,"Instead of closing the old coal plants and switching to renewables , Japan 's answer is to switch to burning hydrogen or ammonia. "" The investment made by electric power companies in coal-fired power plants would suddenly be useless without value in their balance sheet ,"" says Prof Tomas Kaberger , an expert on energy policy at Chalmers University in Sweden. "" And it would create financial difficulties for electric power companies and then for banks and pension funds ."
